match_id,team_id,crosses_openplay_from_segments,crosses_openplay_from_files,_merge,diff
DFL-MAT-J03WFC,DFL-CLU-000004,0,0,left_only,0
DFL-MAT-J03WH5,DFL-CLU-00000E,0,0,left_only,0
DFL-MAT-J03WHW,DFL-CLU-000010,0,0,left_only,0
DFL-MAT-J03WI7,DFL-CLU-000004,0,0,left_only,0
DFL-MAT-J03WJ3,DFL-CLU-00000A,0,0,left_only,0
DFL-MAT-J03YEE,DFL-CLU-000016,0,0,left_only,0
DFL-MAT-J03YHO,DFL-CLU-000004,0,0,left_only,0
DFL-MAT-J0404F,DFL-CLU-00000F,0,0,left_only,0
DFL-MAT-J0406B,DFL-CLU-00000E,0,0,left_only,0
DFL-MAT-J040A4,DFL-CLU-00000V,0,0,left_only,0
